,y,x,highway
2233738925,10.790085,106.6524827,
2233738926,10.7903211,106.6524428,
3462932164,10.7710272,106.6771227,
3462932165,10.7711231,106.6772122,
5764818654,10.7733962,106.6797974,
5764818655,10.7736071,106.6800479,
5764818656,10.7737386,106.6802042,
5772027664,10.7838738,106.6904246,
5772027667,10.7827282,106.6900358,
2146838306,10.7410112,106.6688544,
2146838307,10.7410269,106.6689403,
2146838308,10.7414191,106.6688607,
2146838312,10.7462638,106.6690529,
5813970740,10.7493604,106.6734106,
5813970748,10.7528799,106.6720994,
5769406285,10.7914511,106.6526128,
5769406332,10.7921192,106.6530263,
5769406341,10.7912048,106.6526134,
1997154257,10.7595922,106.6724599,
1997154284,10.7591861,106.6718288,
1767909377,10.7676253,106.702437,
1767909388,10.7682866,106.7032617,
5772159000,10.7623627,106.6966019,
1767909417,10.7663531,106.700978,
6727804997,10.7566259,106.6693846,traffic_signals
6727804998,10.7565674,106.6690254,
6727804999,10.756436,106.6682204,crossing
6727805000,10.7559006,106.6658281,
6727805003,10.7560165,106.6653162,crossing
6727805005,10.7557764,106.6641364,traffic_signals
6727805004,10.7558037,106.6653544,crossing
6727805006,10.7555638,106.6641682,traffic_signals
6786000983,10.7669247,106.6738859,crossing
6786000981,10.7673997,106.6742259,crossing
6727805025,10.7542897,106.6583254,
6727805027,10.7538723,106.6584708,crossing
6727805028,10.7538998,106.6585901,crossing
6727805031,10.7537037,106.6586539,crossing
6727805030,10.7536824,106.6585315,crossing
6727805032,10.7530484,106.658632,traffic_signals
6727805034,10.7530748,106.6588587,crossing
6727805035,10.75291,106.6586651,crossing
6727805033,10.7530567,106.6587318,traffic_signals
6727805037,10.7529293,106.6588966,traffic_signals
6727805042,10.7521083,106.658924,
6727805043,10.7520996,106.6588081,traffic_signals
6727805054,10.7510433,106.6591748,crossing
6727805053,10.7510198,106.6590331,traffic_signals
6727805055,10.7507496,106.6593706,traffic_signals
6727805056,10.7505983,106.6593672,crossing
10609371287,10.7883285,106.6855842,
2036082874,10.7835028,106.7051249,
5518776427,10.7830122,106.6719252,
1997154497,10.7511703,106.6761374,
5813971161,10.7490228,106.674346,
5813971193,10.7494447,106.673072,
2036082987,10.7760492,106.7066704,
1768565067,10.7708987,106.6993567,crossing
2036083066,10.7747778,106.7064454,
11362380244,10.7527501,106.6701563,
2036083298,10.7729853,106.7064008,
2036083316,10.7828182,106.7055038,
2036083350,10.7704175,106.7061767,
11383352033,10.7557189,106.6824442,
2036083465,10.7757982,106.7059198,crossing
11386759961,10.7469573,106.689039,crossing
2036083533,10.7714318,106.7062713,
12014594901,10.7929751,106.6856043,
6773156737,10.7651165,106.6971829,
6773156738,10.7649113,106.6972921,
6773156739,10.7647243,106.6973916,
2036083610,10.7746334,106.7065281,
6773157096,10.7670673,106.6959007,crossing
6773157097,10.7671173,106.6959926,crossing
6773157098,10.7669644,106.6960821,crossing
6773157099,10.7669182,106.695991,crossing
10823281947,10.7446497,106.6891522,
9831853371,10.7709675,106.6993505,
4631178579,10.752869,106.6719822,traffic_signals
4631178580,10.752902,106.67221,crossing
4631178581,10.7529752,106.6721824,traffic_signals
